"A","B","C","D","E","F","G","H","I"
6,1,35,30,45,29,61,74,21
6,18,14,20,18,57,35,34,100
3,33,29,27,13,35,41,31,70
0,5,21,36,38,51,47,23,41
0,11,14,53,19,36,34,57,95
0,10,16,15,24,20,41,47,62
2,17,32,20,72,27,27,59,70
10,13,27,18,29,50,61,79,67
23,4,10,28,11,22,57,71,70
0,6,22,24,58,62,34,49,59
9,1,20,57,12,52,24,73,50
0,28,19,16,35,12,58,55,89
20,5,25,42,10,29,23,62,36
4,37,24,13,30,24,38,54,55
13,0,26,20,14,45,63,60,47
0,5,56,15,23,47,75,71,39
0,10,19,18,31,27,65,51,92
9,9,30,9,13,52,50,20,41
10,15,3,28,47,45,29,47,24
7,4,24,19,24,40,31,44,37
7,12,14,12,43,54,53,46,73
0,10,3,13,62,41,26,25,34
10,18,21,16,38,50,52,90,59
9,8,14,15,21,41,37,74,62
17,6,25,25,31,41,25,46,68
14,20,21,18,23,49,24,30,64
7,28,7,44,41,48,66,53,49
0,18,35,44,18,9,29,33,72
0,6,28,32,64,65,49,77,64
7,17,11,44,22,20,71,39,67
7,13,21,20,25,38,29,34,52
2,33,24,21,16,55,26,55,102
2,16,37,14,36,12,61,24,30
0,6,12,19,33,43,57,24,19
4,7,23,5,23,46,24,30,63
0,2,29,26,22,21,46,37,43
18,2,31,38,40,54,16,33,58
22,20,13,20,39,75,35,98,55
3,10,37,21,35,50,59,70,54
0,6,19,19,7,27,51,47,61
11,5,14,26,41,29,74,83,79
0,24,15,26,32,24,65,72,71
0,0,55,25,23,55,19,40,45
7,20,27,30,39,51,59,37,33
0,3,12,13,51,14,22,55,32
7,24,11,56,65,33,85,53,49
0,0,1,11,19,21,51,53,41
35,15,13,32,31,29,16,74,48
12,0,20,39,67,73,53,23,76
38,14,13,21,41,16,26,85,55
10,4,22,28,26,78,65,74,28
16,9,9,13,36,12,56,77,72
8,4,13,17,39,26,30,36,56
0,9,18,27,59,16,31,55,83
3,8,7,17,25,38,30,49,35
0,0,15,25,78,34,41,65,38
0,12,12,9,39,31,43,71,85
0,19,10,28,54,60,41,45,57
8,0,2,52,78,67,56,42,49
0,5,19,33,23,31,32,38,56
7,15,17,55,32,13,38,32,38
0,9,24,21,37,42,47,29,32
10,13,18,18,26,42,27,45,62
0,11,15,12,17,87,51,52,90
0,0,18,46,19,30,41,40,40
1,1,34,26,54,52,24,26,45
3,8,19,14,30,35,21,41,75
0,12,4,22,38,66,17,61,71
0,1,9,30,33,47,52,58,45
6,12,16,39,32,57,49,36,86
0,18,19,14,21,48,49,57,67
0,3,18,8,22,54,32,36,39
5,2,55,40,10,68,39,14,76
0,14,1,14,65,56,65,15,51
0,11,24,52,26,60,4,37,62
0,24,15,32,0,49,30,54,36
4,5,0,40,32,40,41,48,71
15,0,29,3,62,36,72,38,63
0,23,14,22,52,43,50,45,38
16,6,4,21,48,34,35,46,25
0,38,49,10,39,31,44,52,38
8,13,11,16,49,44,49,53,72
10,5,31,43,26,15,34,29,86
3,6,15,17,25,12,35,80,34
1,25,1,13,30,41,38,67,67
8,18,14,45,36,52,30,53,32
0,12,13,33,47,26,62,37,75
20,26,34,30,12,54,22,34,57
8,17,31,18,59,74,37,62,85
10,2,15,29,40,20,67,82,48
0,13,29,39,42,23,22,80,67
4,4,11,28,39,29,53,47,34
0,19,2,10,28,24,50,19,50
0,27,9,46,64,21,57,37,52
1,11,48,42,40,17,27,35,70
0,14,46,25,34,32,29,90,62
7,13,12,7,47,3,10,46,70
3,17,23,20,28,48,67,38,73
0,13,46,24,53,20,72,61,72
6,2,24,32,19,39,39,38,63
3,9,24,35,25,24,36,37,66
0,6,27,17,12,28,36,34,51
0,21,5,34,23,31,51,10,71
5,14,30,33,33,36,35,54,93
10,15,27,27,14,26,51,56,32
8,0,21,11,56,60,84,73,49
0,6,18,5,41,36,79,83,24
0,22,17,17,14,26,48,63,57
10,4,22,19,42,32,41,62,49
2,5,14,10,41,25,61,109,65
2,16,25,12,40,22,46,39,51
20,1,31,20,20,13,36,93,53
0,11,22,38,17,38,18,56,26
7,18,1,15,37,41,63,59,63
0,17,26,21,70,61,24,37,90
6,15,19,28,9,80,25,42,48
4,0,24,26,30,36,59,35,64
10,0,35,29,45,42,68,57,82
18,2,32,35,19,59,36,53,28
7,7,20,19,20,35,64,45,64
0,4,2,44,58,40,62,68,58
10,10,3,24,15,30,44,85,35
0,14,2,17,37,55,85,39,76
4,12,18,26,29,18,31,53,94
13,8,13,48,25,35,36,72,53
1,40,33,3,26,19,51,64,9
0,14,5,31,16,31,76,47,32
0,11,6,5,17,29,55,26,43
3,0,13,12,63,41,82,42,75
3,4,12,32,36,49,81,35,79
0,16,40,46,9,21,71,65,50
12,6,37,28,52,37,38,65,56
0,18,6,41,5,31,53,28,69
15,23,15,25,25,15,54,28,94
6,7,11,18,42,36,63,54,41
1,10,26,14,59,25,40,19,45
1,8,24,17,24,42,38,59,112
9,8,29,37,33,24,41,38,47
4,1,25,13,36,31,46,56,46
0,10,11,36,39,66,29,45,87
0,0,5,3,28,29,29,54,72
4,27,4,23,19,25,34,36,51
17,5,13,17,22,30,63,48,47
0,11,26,38,10,38,52,33,62
2,8,8,28,34,22,57,124,39
10,4,11,22,22,13,34,27,70
0,16,19,18,12,76,56,79,51
5,12,12,44,28,19,33,25,30
